"學生代號","W","Lab01","Lab02","Lab03","Lab04","Lab05","Lab06","Lab07","Lab08","Lab09","Lab10","HW1","HW2","HW3","HW4","HW5","Mid","OT","Final","FP","點名","Bonus","總成績","Grade"
"es26dcs040","False","100","100","60","60","60","60","100","60","60","100","92.07","87.0","89.5","82.64","96.36","83.0","75.47","82","108.21","3","","88.39","A"
"es26dcs041","False","100","100","100","60","60","100","100","60","100","100","99.36","98.0","59.76","96.79","88.86","64.5","79.47","85","112.32","3","","89.77","A+"
"es26dcs042","False","100","100","60","100","60","60","100","60","60","100","75.14","76.25","54.49","86.29","76.29","34.5","69.6","69","106.25","3","","76.89","B+"
"es26dcs043","False","100","100","100","60","60","60","100","60","100","100","84.79","86.5","91.43","90.14","90.14","62.0","63.47","73","94.11","3","","81.08","A-"
"es26dcs044","False","100","100","100","60","60","60","100","60","100","100","99.79","96.0","74.5","97.21","86.5","74.5","75.73","84","110.5","3","","89.74","A+"
"es26dcs045","False","100","100","60","100","60","100","100","60","100","100","88.93","84.0","95.29","99.36","95.07","75.0","73.07","93","96.71","3","","89.94","A+"
"es26dcs046","False","100","100","100","100","100","60","100","100","100","100","94.0","77.0","82.21","85.21","85.86","61.5","100.0","60","87.25","3","","80.24","A-"
"es26dcs047","False","100","100","100","100","95","60","100","100","100","100","92.29","79.5","82.86","87.14","92.93","83.0","100.0","82","88.75","3","","88.25","A"
"es26dcs048","False","100","100","60","60","60","100","100","60","100","100","74.93","73.75","52.04","80.21","79.21","57.0","66.4","75","98.61","3","","78.33","B+"
"es26dcs049","False","100","100","100","100","100","100","100","60","100","100","100.0","97.75","92.29","91.21","99.36","76.5","77.87","87","102.82","3","1","92.85","A+"
"es26dcs050","False","100","100","100","100","100","100","100","60","100","100","98.5","92.5","94.43","95.29","96.14","70.0","100.0","90","106.04","3","","94.77","A+"
"es26dcs051","True","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","0.0","X"
